Sr.No.,Application Name,Sr.No.
52001,PhonePe,52001
52002,Google Pay,52002
52003,Paytm,52003
52004,Cred,52004
52005,Axis Bank Apps,52005
52006,Amazon Pay,52006
52007,ICICI Bank Apps,52007
52008,Fampay,52008
52009,Kotak Mahindra Bank Apps,52009
52010,HDFC Bank Apps,52010
52011,WhatsApp,52011
52012,BHIM,52012
52013,Yes Bank Apps,52013
52014,Airtel Payments Bank Apps,52014
52015,Bajaj Finserv,52015
52016,Mobikwik,52016
52017,India Post Payments Bank Apps,52017
52018,Groww,52018
52019,State Bank of India Apps,52019
52020,IDFC Bank Apps,52020
52021,Samsung Pay,52021
52022,Jupiter,52022
52023,Flipkart,52023
52024,Deutsche Bank Apps,52024
52025,Federal Bank Apps,52025
52026,Canara Bank Apps,52026
52027,Navi,52027
52028,Slice,52028
52029,Jio Payments Bank Apps,52029
52030,Indian Bank Apps,52030
52031,RBL Bank Apps,52031
52032,Punjab National Bank Apps,52032
52033,Timepay,52033
52034,Union Bank Apps,52034
52035,Omnicard,52035
52036,Bank of Baroda Apps,52036
52037,Central Bank of India Apps,52037
52038,AU Small Finance Bank Apps,52038
52039,Gokiwi,52039
52040,DBS Digibank Apps,52040
52041,Shriram One,52041
52042,South Indian Bank Apps,52042
52043,Fino Payments bank Apps,52043
52044,IndusInd Bank Apps,52044
52045,HSBC Bank Apps,52045
52046,TataNeu,52046
52047,Bank of India Apps,52047
52048,Standard Chartered Bank Apps,52048
52049,Dhani,52049
52050,UCO Bank Apps,52050
52051,Karnataka Bank Apps,52051
52052,Jupiter Edge,52052
52053,Digikhata,52053
52054,Indian Overseas Bank Apps,52054
52055,Tamilnad Mercantile Bank Apps,52055
52056,Ultracash,52056
52057,Citi Bank Apps,52057
52058,City Union Bank Apps,52058
52059,NSDL Payments Bank Apps,52059
52060,Bank of Maharashtra Apps,52060
52061,Karur Vysya Bank Apps,52061
52062,Equitas Small Finance Bank Apps,52062
52063,MakeMyTrip,52063
52064,Go Niyo,52064
52065,Allahabad Bank Apps,52065
52066,Other Apps,52066
52067,Paytm Payments Bank App,52067
52068,FAM,52068
52069,FIFEDERAL,52069
52070,BPAYWALLET,52070
52071,SHRIRAMHDFCBANK,52071
52072,INDIE - Indus Bank app,52072
52073,Jupiter Edge (LivQuick PPI),52073
52074,KOTAK811,52074
52075,IDBI Bank Apps,52075
52076,FKAXIS,52076
52077,DBDC Apps,52077
52078,MBK,52078
52079,INDIE - Indus Ind,52079
52080,PAYTMWALLET,52080
52081,Bajaj Pay Wallet,52081
52082,Fave,52082
52083,CBDC Apps,52083
52084,Other,52084
52085,Punjab Sind Bank Apps,52085
52086,Others,52086
52087,Bajaj Finserv PPI,52087
52088,Dhani PPI,52088
52089,Digikhata PPI,52089
52090,Fampay PPI,52090
52091,Jammu and Kashmir Bank Apps,52091
52092,Mobikwik PPI,52092
52093,Omnicard PPI,52093
52094,slice PPI,52094
52095,Utkarsh Small Finance Bank Apps,52095
52096,OMNI,52096
52097,GOAXB,52097
52098,NAVIAXIS,52098
52099,INDIE,52099
52100,SHRIRAM,52100
52101,Dhanlaxmi Bank Apps,52101
52102,GoIbibo,52102
52103,KIWI,52103
52104,ZOICICI,52104
52105,SURYODAY,52105
52106,Bandhan Bank Apps,52106
52107,Zomato,52107
52108,PINELABS,52108
52109,GoNiyo PPI,52109
52110,Cointab,52110
52111,Akudo & Muvin (Livquik),52111
52112,RBLBANK,52112
52113,Slash,52113
52114,Bajaj Markets,52114
52115,Bank of America Apps,52115
52116,Eroute,52116
52117,Janata Sahakari Bank Apps,52117
52118,LivQuick PPI,52118
52119,Transerv PPI,52119
52120,Transerv,52120
52121,Andhra Bank Apps,52121
52122,TJSB Bank Apps,52122
52123,MI Pay,52123
52124,YuvaPay,52124
52125,Finshell Pay,52125
52126,Finserv Markets,52126
52127,Jupiter Edge (LivQuick PPI App),52127
52128,SuperPay,52128
52129,Dena Bank Apps,52129
52130,Allahabad Bank App,52130
52131,AU Small Finance Bank App,52131
52132,Bank of India App,52132
52133,Bank of Maharashtra App,52133
52134,Canara Bank App,52134
52135,Central Bank of India App,52135
52136,Citi Bank App,52136
52137,City Union Bank App,52137
52138,DBS Digibank App,52138
52139,Dena Bank App,52139
52140,Deutsche Bank App,52140
52141,Dhanlaxmi Bank App,52141
52142,Federal Bank App,52142
52143,Fino Payments bank App,52143
52144,HSBC Bank App,52144
52145,IDBI Bank App,52145
52146,IDFC Bank App,52146
52147,India Post Payments Bank App,52147
52148,Indian Bank App,52148
52149,IndusInd Bank App,52149
52150,Jammu and Kashmir Bank App,52150
52151,Janta Sahakari Bank App,52151
52152,Jio Payments Bank App,52152
52153,Jupiter Money,52153
52154,Karnataka Bank App,52154
52155,Karur Vysya Bank App,52155
52156,MakeMy Trip,52156
52157,NSDL Payments Bank App,52157
52158,Punjab National Bank App,52158
52159,Punjab Sindh Bank Apps,52159
52160,RBL Bank App,52160
52161,South Indian Bank App,52161
52162,Standard Chartered Bank App,52162
52163,UCO Bank App,52163
52164,Utkarsh Small Finance Bank,52164
52165,Punjab Sindh Bank App,52165
52166,RealMe,52166
52167,Other Bank Apps,52167
52168,Cheq,
